Fri Jan  8 11:29:43 2010 |                      | 073 | (000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,001)(000,001)(000,001)(000,001)(000,002)(001,003)(002,003)(003,004)(003,004)(004,005)(005,005)(006,005)(007,006)(008,006)(009,006)(010,006)(011,006)(012,006)(014,006)(015,006)(016,006)(017,006)(018,005)(019,005)(020,004)(021,004)(022,004)(022,003)(022,003)(023,002)(023,001)(023,001)(023,000)(023,000)(023,-01)(024,-02)(024,-02)(025,-03)(025,-03)(025,-03)(025,-04)(025,-04)(025,-04)(025,-04)(025,-04)(025,-04)(025,-04)(026,-03)(026,-03)(026,-03) |
Fri Jan  8 13:20:50 2010 |                      | 060 | (000,000)(000,000)(000,000)(000,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,000)(001,-01)(001,-01)(002,-02)(003,-02)(004,-02)(004,-03)(005,-03)(006,-04)(007,-05)(008,-05)(009,-06)(011,-07)(012,-07)(014,-07)(016,-08)(018,-08)(020,-08)(022,-08)(025,-08)(027,-08)(029,-07)(031,-07)(033,-07)(035,-07)(037,-06)(039,-06)(041,-05)(042,-04)(044,-03)(045,-02)(046,-01)(047,000)(047,000)(048,001)(048,001)(048,001)(048,001)(048,001)(048,000)(048,000)(048,000)(048,000)(048,000)(048,000) |
Fri Jan  8 13:38:03 2010 |                      | 104 | (000,000)(000,000)(000,000)(000,001)(000,001)(000,001)(000,001)(000,001)(000,001)(-01,002)(-01,002)(-01,002)(-01,002)(-01,002)(-01,002)(-01,002)(-01,002)(-01,002)(000,001)(000,001)(000,000)(001,000)(001,-01)(001,-01)(002,-02)(002,-03)(002,-03)(003,-04)(003,-05)(003,-06)(003,-07)(003,-08)(003,-09)(003,-09)(003,-10)(003,-11)(003,-11)(003,-12)(002,-12)(002,-13)(001,-13)(001,-13)(001,-12)(002,-11)(003,-10)(003,-10)(004,-09)(004,-08)(005,-07)(006,-06)(007,-05)(007,-04)(008,-03)(008,-02)(009,-02)(009,-01)(010,-01)(010,000)(011,000)(011,000)(011,000)(011,-01)(010,-01)(010,-01)(011,000)(011,000)(011,000)(012,000)(012,000)(012,-01)(013,-01)(013,-02)(013,-02)(014,-03)(015,-04)(015,-04)(016,-05)(018,-05)(019,-06)(021,-06)(023,-07)(026,-07)(028,-07)(031,-07)(034,-07)(037,-06)(040,-06)(044,-05)(047,-04)(049,-03)(052,-02)(054,-01)(055,000)(057,000)(057,000)(057,000)(057,000)(057,000)(057,000)(057,000)(056,000)(056,000)(056,000)(056,000) |
Fri Jan  8 14:09:46 2010 |                      | 062 | (000,000)(000,-01)(000,-01)(000,-01)(000,-01)(000,-01)(000,-01)(000,-01)(-01,-01)(-01,-01)(-01,-01)(-01,-01)(-01,-01)(-01,-01)(-01,-01)(-01,-01)(-01,-01)(-01,-01)(-01,-01)(-01,-01)(-01,-01)(-01,-01)(-02,-01)(-02,-01)(-02,-01)(-02,-01)(-02,-01)(-02,-01)(-02,-01)(-02,-01)(-01,-01)(000,-01)(000,-01)(002,-01)(003,-01)(005,000)(007,000)(009,000)(012,000)(014,001)(016,001)(018,001)(020,002)(022,002)(023,002)(024,003)(025,003)(026,003)(027,003)(027,003)(028,003)(028,003)(027,003)(027,003)(026,003)(026,002)(026,002)(025,002)(025,002)(025,002)(025,002)(025,002) |
Fri Jan  8 23:02:38 2010 |                      | 010 | (000,000)(000,-03)(000,-06)(001,-11)(001,-16)(002,-21)(002,-28)(002,-34)(003,-42)(003,-42) |
Fri Jan  8 23:02:39 2010 |                      | 041 | (000,000)(000,-04)(-01,-07)(-04,-09)(-07,-12)(-07,-16)(-07,-19)(-07,-22)(-07,-25)(-07,-28)(-07,-32)(-07,-35)(-07,-39)(-07,-42)(-08,-45)(-08,-48)(-08,-51)(-08,-54)(-08,-57)(-08,-60)(-08,-64)(-08,-67)(-08,-70)(-08,-73)(-08,-76)(-08,-79)(-08,-81)(-08,-83)(-08,-87)(-08,-89)(-09,-92)(-09,-95)(-09,-97)(-09,-101)(-09,-105)(-10,-108)(-10,-113)(-10,-117)(-10,-121)(-10,-127)(-10,-127) |
Sat Jan  9 00:43:22 2010 |                      | 061 | (000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-02,000)(-02,000)(-02,000)(-02,000)(-02,000)(-01,000)(000,000)(001,000)(002,000)(003,000)(005,000)(007,000)(010,000)(013,000)(015,000)(018,000)(021,000)(024,-01)(026,-01)(029,-01)(031,-02)(033,-02)(035,-02)(037,-02)(039,-02)(041,-02)(042,-02)(043,-02)(044,-02)(045,-02)(045,-02)(045,-02)(045,-02)(045,-02)(045,-02)(045,-02)(045,-02)(045,-01)(044,-01)(044,000)(044,001)(044,001) |
Sat Jan  9 19:12:57 2010 |                      | 076 | (000,000)(000,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,001)(-01,002)(-01,002)(-01,003)(-01,003)(-01,004)(-01,005)(000,006)(000,006)(001,007)(001,008)(002,009)(002,010)(003,011)(004,011)(005,012)(006,013)(007,013)(009,014)(010,014)(012,014)(014,015)(016,015)(019,015)(021,015)(024,015)(026,015)(029,015)(032,015)(034,015)(036,014)(039,013)(041,012)(043,011)(045,010)(047,009)(049,007)(050,006)(052,005)(053,004)(054,002)(055,001)(056,000)(056,-01)(056,-03)(056,-04)(056,-05)(055,-06)(055,-07)(055,-08)(055,-08)(054,-09)(054,-09)(054,-09)(054,-09)(054,-09)(054,-08)(054,-07)(054,-05)(054,-03)(054,000)(054,000) |
Sun Jan 10 01:10:14 2010 |                      | 100 | (000,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,000)(-01,-01)(-01,-01)(-01,-01)(-01,-01)(-01,-01)(000,-01)(000,-01)(001,000)(001,000)(002,000)(003,001)(003,001)(004,002)(005,003)(006,004)(007,005)(008,006)(008,007)(009,009)(010,010)(011,011)(011,013)(012,014)(012,015)(013,016)(013,017)(013,018)(014,019)(014,019)(014,020)(013,020)(013,021)(012,021)(012,021)(011,021)(010,021)(010,021)(009,021)(009,021)(008,020)(008,020)(007,019)(007,019)(006,019)(005,018)(004,017)(003,017)(002,016)(001,014)(000,013)(-01,011)(-02,009)(-03,007)(-05,004)(-06,002)(-08,-02)(-10,-05)(-11,-08)(-13,-12)(-14,-16)(-16,-19)(-17,-23)(-18,-26)(-19,-30)(-19,-33)(-20,-36)(-20,-39)(-20,-42)(-19,-44)(-18,-47)(-17,-48)(-16,-50)(-14,-51)(-12,-52)(-11,-52)(-08,-52)(-07,-52)(-05,-51)(-03,-51)(-02,-50)(-01,-50)(000,-50)(001,-50)(001,-50)(001,-50)(000,-50)(000,-50) |
Sun Jan 10 01:10:24 2010 |                      | 135 | (000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(000,-01)(000,-01)(000,-01)(000,-01)(000,-01)(001,-01)(001,-01)(001,-02)(001,-02)(002,-03)(002,-03)(003,-03)(003,-04)(004,-04)(005,-04)(005,-04)(006,-04)(007,-04)(007,-04)(008,-04)(009,-04)(010,-04)(010,-04)(011,-03)(012,-03)(012,-03)(013,-03)(013,-02)(014,-02)(015,-01)(015,000)(016,000)(016,001)(017,002)(017,003)(018,004)(018,005)(019,005)(019,006)(019,007)(019,008)(019,009)(020,009)(020,010)(020,010)(019,011)(019,011)(019,012)(019,013)(019,014)(018,014)(018,015)(018,015)(018,016)(017,017)(017,017)(017,018)(016,019)(016,019)(015,019)(015,019)(014,019)(014,019)(013,019)(013,019)(012,018)(012,018)(011,017)(010,016)(010,016)(009,015)(009,014)(008,014)(008,013)(007,013)(007,012)(007,011)(006,010)(006,009)(005,008)(005,007)(004,006)(004,005)(003,004)(002,003)(002,001)(001,000)(000,-01)(-01,-03)(-02,-05)(-03,-07)(-04,-09)(-05,-11)(-06,-13)(-07,-15)(-08,-18)(-08,-21)(-09,-23)(-10,-26)(-10,-28)(-10,-31)(-10,-33)(-10,-35)(-10,-37)(-09,-38)(-09,-40)(-09,-41)(-08,-42)(-08,-43)(-07,-43)(-07,-44)(-06,-44)(-06,-44)(-06,-44)(-06,-45)(-06,-45)(-06,-45)(-06,-45)(-06,-45)(-06,-45)(-06,-45)(-07,-44)(-07,-44) |
Sun Jan 10 01:20:06 2010 |                      | 039 | (000,000)(000,000)(000,000)(000,000)(000,000)(001,000)(001,000)(001,001)(002,001)(003,002)(004,003)(005,004)(006,005)(008,006)(009,007)(011,008)(013,009)(014,009)(016,010)(017,011)(019,012)(020,013)(021,014)(022,015)(023,015)(023,016)(024,017)(024,017)(024,017)(024,016)(023,016)(023,016)(023,016)(023,016)(022,016)(022,016)(022,016)(022,017)(022,017) |
Sun Jan 10 01:20:27 2010 |                      | 040 | (000,000)(000,000)(000,000)(000,000)(000,000)(000,000)(001,001)(001,001)(001,002)(002,002)(003,003)(004,004)(005,005)(007,006)(008,007)(010,009)(012,010)(015,012)(017,014)(020,016)(022,018)(025,019)(027,021)(029,023)(031,024)(032,025)(034,026)(035,026)(035,026)(036,027)(036,027)(036,027)(036,027)(036,027)(036,027)(036,026)(035,026)(035,026)(034,026)(034,026) |
Sun Jan 10 01:20:32 2010 |                      | 037 | (000,000)(-01,-01)(-01,-01)(-01,-01)(-01,-01)(-01,-01)(-01,-01)(-01,-01)(-01,-01)(-01,-01)(-01,-01)(-01,-01)(-01,-01)(000,000)(000,001)(001,001)(002,002)(003,003)(004,004)(005,005)(007,006)(008,007)(010,008)(011,009)(013,010)(014,011)(015,012)(016,012)(016,012)(016,012)(016,012)(015,011)(015,011)(014,010)(013,010)(012,010)(012,010) |
