##=====================---------------------------------=======================#
##===----                  pre-anniversary wordsigns                    ----===#
##=====================---------------------------------=======================#
#  from gregg.angelfishy.net
#    word signs summaried in a table from the pre-anniversary manual
#    also from pre-aniversary reporting book

# english   = dictionary spelling
# gregg     = specialized gregg outline spelling
# rf        = reference work
#    pm     : pre-anniversary manual
#    pr     : pre-anniversary reporters manual
#    sd     : simplified dictionary
# pgs       = page in reference work
# t         = w=wordsign, p=phrase, -=normal
# d         = difficulty to write (simple, moderate, hard)
# s         = simplification (*=made harder by simplified, -=consistent)
# -
# -
# co        = commonality (01=top100, 05=top500, 10=top1000, 50=top5000)
#

#-------english-------- | --------gregg--------- | rf pgs t |  d  s  -  -  co  |
skill                   | >.s.k.l                | pb 082 - |  s  *  -  -  --  |
keep                    | >.k.p                  | pw 000 w |  -  -  -  -  --  |
consider                | >.k.s                  | pw 000 w |  -  -  -  -  --  |
consideration           | >.k.s                  | pw 000 w |  -  -  -  -  --  |

copy                    | >.k.p.e                | pw 000 w |  -  -  -  -  --  |
corporation             | >.k.r.p                | pw 000 w |  -  -  -  -  --  |
correspond              | >.k.r.e.z              | pw 000 w |  -  -  -  -  --  |
correspondence          | >.k.r.e.z              | pw 000 w |  -  -  -  -  --  |
could                   | >.k.d                  | pw 000 w |  -  -  -  -  --  |
course                  | >.k.r.z                | pw 000 w |  -  -  -  -  --  |
cover                   | >.k.v                  | pw 000 w |  -  -  -  -  --  |
credit                  | >.k.r.e                | pw 000 w |  -  -  -  -  --  |
custom                  | >.k.u.s                | pw 000 w |  -  -  -  -  --  |
date                    | >.dd                   | pw 000 w |  -  -  -  -  --  |
did                     | >.dd                   | pw 000 w |  -  -  -  -  --  |
definite                | >.df.n                 | pw 000 w |  -  -  -  -  --  |
deliver                 | >.d.l                  | pw 000 w |  -  -  -  -  --  |
desire                  | >.d.z                  | pw 000 w |  -  -  -  -  --  |
determine               | >.er.mm                | pw 000 w |  -  -  -  -  --  |

devote                  | >.df.t                 | pw 000 w |  -  -  -  -  --  |
differ                  | >.df                   | pw 000 w |  -  -  -  -  --  |
difference              | >.df                   | pw 000 w |  -  -  -  -  --  |
different               | >.df                   | pw 000 w |  -  -  -  -  --  |
difficulty              | >.df.k                 | pw 000 w |  -  -  -  -  --  |
direct                  | >.d.r.k                | pw 000 w |  -  -  -  -  --  |
dollar                  | >.d.o                  | pw 000 w |  -  -  -  -  --  |
draft                   | >.d.r.f                | pw 000 w |  -  -  -  -  --  |
during                  | >.d.r                  | pw 000 w |  -  -  -  -  --  |
doctor                  | >.d.r                  | pw 000 w |  -  -  -  -  --  |
duplicate               | >.d.u.p                | pw 000 w |  -  -  -  -  --  |
duty                    | >.dd.e                 | pw 000 w |  -  -  -  -  --  |
educate                 | >.e.d.u                | pw 000 w |  -  -  -  -  --  |
education               | >.e.d.u                | pw 000 w |  -  -  -  -  --  |
effect                  | >.f.k                  | pw 000 w |  -  -  -  -  --  |

either                  | >.e.ht                 | pw 000 w |  -  -  -  -  --  |
else                    | >.l.z                  | pw 000 w |  -  -  -  -  --  |
list                    | >.l.z                  | pw 000 w |  -  -  -  -  --  |
endure                  | >.nd.r                 | pw 000 w |  -  -  -  -  --  |
enough                  | >.n.u.f                | pw 000 w |  -  -  -  -  --  |


##=====================---------------------------------=======================#
##===----                       anniversary 5,000                       ----===#
##=====================---------------------------------=======================#

#page 01
a                       | >                      | a5 001 - |  -  -  -  -  --  |
am                      | >.m                    | a5 001 - |  -  -  -  -  --  |
an                      | >                      | a5 001 - |  -  -  -  -  --  |
are                     | >.r                    | a5 001 - |  -  -  -  -  --  |
at                      | >.t                    | a5 001 - |  -  -  -  -  --  |
can                     | >.k                    | a5 001 - |  -  -  -  -  --  |
cannot                  | >.k.n                  | a5 001 - |  -  -  -  -  --  |
can't                   | >.k.t                  | a5 001 - |  -  -  -  -  --  |
eye                     | >.a                    | a5 001 - |  -  -  -  -  --  |
go                      | >.g                    | a5 001 - |  -  -  -  -  --  |
going                   | >.g.>                  | a5 001 - |  -  -  -  -  --  |
good                    | >.g                    | a5 001 - |  -  -  -  -  --  |
hay                     | >.>.a                  | a5 001 - |  -  -  -  -  --  |
hour                    | >.r                    | a5 001 - |  -  -  -  -  --  |
i                       | >.a                    | a5 001 - |  -  -  -  -  --  |
in                      | >.n                    | a5 001 - |  -  -  -  -  --  |
it                      | >.t                    | a5 001 - |  -  -  -  -  --  |
more                    | >.m                    | a5 001 - |  -  -  -  -  --  |
not                     | >.n                    | a5 001 - |  -  -  -  -  --  |
