##=====================---------------------------------=======================#
##===----                  pre-anniversary wordsigns                    ----===#
##=====================---------------------------------=======================#
#  from gregg.angelfishy.net
#    word signs summaried in a table from the pre-anniversary manual
#    also from pre-aniversary reporting book

# english   = dictionary spelling
# gregg     = specialized gregg outline spelling
# rf        = reference work
#    pm     : pre-anniversary manual
#    pr     : pre-anniversary reporters manual
#    sd     : simplified dictionary
# pgs       = page in reference work
# t         = w=wordsign, p=phrase, -=normal
# d         = difficulty to write (simple, moderate, hard)
# s         = simplification (*=made harder by simplified, -=consistent)
# -
# -
# co        = commonality (01=top100, 05=top500, 10=top1000, 50=top5000)
#

#-------english-------- | --------gregg--------- | rf pgs t |  d  s  -  -  co  |
skill                   | >.s.k.l                | pb 082 - |  s  *  -  -  --  |
your                    | >.u                    | a5 003 w |  -  -  -  -  --  |

## page 05
added                   | >.a.dd                 | a5 003 - |  -  -  -  -  --  |
dead                    | >.dd                   | a5 003 - |  -  -  -  -  --  |
debt                    | >.dd                   | a5 003 - |  -  -  -  -  --  |
detail                  | >.dd.A.l               | a5 003 - |  -  -  -  -  --  |
hated                   | >.>.a.dd               | a5 003 - |  -  -  -  -  --  |
headed                  | >.>.e.dd               | a5 003 - |  -  -  -  -  --  |
heated                  | >.>.e.dd               | a5 003 - |  -  -  -  -  --  |
limited                 | >.l.E.m.e.dd           | a5 003 - |  -  -  -  -  --  |
needed                  | >.n.e.dd               | a5 003 - |  -  -  -  -  --  |
today                   | >.dd.a                 | a5 003 - |  -  -  -  -  --  |
treated                 | >.t.r.E.dd             | a5 003 - |  -  -  -  -  --  |

eliminate               | >.E.l.E.mm.a.t         | a5 003 - |  -  -  -  -  --  |
many                    | >.mm.e                 | a5 003 - |  -  -  -  -  --  |
meant                   | >.mm.t                 | a5 003 - |  -  -  -  -  --  |
memory                  | >.mm.r.e               | a5 003 - |  -  -  -  -  --  |
men                     | >.mm                   | a5 003 - |  -  -  -  -  --  |
mend                    | >.mm.d                 | a5 003 - |  -  -  -  -  --  |
mental                  | >.mm.t.l               | a5 003 - |  -  -  -  -  --  |
mimimum                 | >.mm.e.mm              | a5 003 - |  -  -  -  -  --  |
minute                  | >.mm.e.t               | a5 003 - |  -  -  -  -  --  |
money                   | >.mm.e                 | a5 003 - |  -  -  -  -  --  |
month                   | >.mm.th                | a5 003 - |  -  -  -  -  --  |
remain                  | >.r.E.mm               | a5 003 - |  -  -  -  -  --  |
remaining               | >.r.E.mm.>             | a5 003 - |  -  -  -  -  --  |

alike                   | >.A.l.A                | a5 003 w |  -  -  -  -  --  |
all                     | >.oo                   | a5 003 w |  -  -  -  -  --  |
any                     | >.n.e                  | a5 003 w |  -  -  -  -  --  |
aware                   | >.A.r                  | a5 003 w |  -  -  -  -  --  |
come                    | >.c.m                  | a5 003 w |  -  -  -  -  --  |
coming                  | >.c.m.>                | a5 003 w |  -  -  -  -  --  |
could                   | >.c.d                  | a5 003 w |  -  -  -  -  --  |
country                 | >.c.t                  | a5 003 w |  -  -  -  -  --  |
date                    | >.dd                   | a5 003 w |  -  -  -  -  --  |
did                     | >.dd                   | a5 003 w |  -  -  -  -  --  |
into                    | >.nt.u                 | a5 003 w |  -  -  -  -  --  |
like                    | >.l.A                  | a5 003 w |  -  -  -  -  --  |
liking                  | >.l.A.>                | a5 003 w |  -  -  -  -  --  |
little                  | >.l.E.t                | a5 003 w |  -  -  -  -  --  |
meantime                | >.mm.tm                | a5 003 w |  -  -  -  -  --  |
my                      | >.m.a                  | a5 003 w |  -  -  -  -  --  |
other                   | >.u.th                 | a5 003 w |  -  -  -  -  --  |
those                   | >.th.z                 | a5 003 w |  -  -  -  -  --  |
time                    | >.tm                   | a5 003 w |  -  -  -  -  --  |
truth                   | >.t.r                  | a5 003 w |  -  -  -  -  --  |
were                    | >.E.r                  | a5 003 w |  -  -  -  -  --  |
what???                 | >.z.t                  | a5 003 w |  -  -  -  -  --  |
when                    | >.e.n                  | a5 003 w |  -  -  -  -  --  |
where                   | >.A.r                  | a5 003 w |  -  -  -  -  --  |

## page 06




way                     | >.u.a                  | a5 029 - |  -  -  -  -  --  |
we                      | >.u.e                  | a5 029 - |  -  -  -  -  --  |
wear                    | >.u.a.r                | a5 029 - |  -  -  -  -  --  |
wearing                 | >.u.a.r.>              | a5 029 - |  -  -  -  -  --  |
wears                   | >.u.a.r.s              | a5 029 - |  -  -  -  -  --  |

weigh                   | >.u.a                  | a5 030 - |  -  -  -  -  --  |
weighing                | >.u.a.dot              | a5 030 - |  -  -  -  -  --  |
weight                  | >.u.a.t                | a5 030 - |  -  -  -  -  --  |
weights                 | >.u.a.t.s              | a5 030 - |  -  -  -  -  --  |
wet                     | >.u.e.t                | a5 030 - |  -  -  -  -  --  |

large                   | >.l.A.j                | a5 050 - |  -  -  -  -  --  |

act                     | >.a.k                  | a5 054 - |  -  -  -  -  --  |
acting                  | >.a.k.>                | a5 054 - |  -  -  -  -  --  |
acts                    | >.a.k.s                | a5 054 - |  -  -  -  -  --  |



##=====================---------------------------------=======================#
##===----                    pre-anniversary manual                     ----===#
##=====================---------------------------------=======================#

##===[[ PRE MAN : CH01, PGS 004-004 ]]======================| co sp            #
# column 1
#--------------------------------------------------sr pgs t
# sr  = source
#         pm  = pre-anniverary manual
#         a5  = anniversary 5,000
#
# pgs = page reference in source
#
# t   = type
#         -   = normal word
#         w   = wordsign of brief form
#         p   = phrase
#
eke                     | >.e.k                  | pm 003 - |  -  -  -  -  --  |
key                     | >.k.e                  | pm 003 - |  -  -  -  -  --  |
ale                     | >.A.l                  | pm 003 - |  -  -  -  -  --  |
era                     | >.E.r.A                | pm 003 - |  -  -  -  -  --  |
rat                     | >.r.A.t                | pm 003 - |  -  -  -  -  --  |
take                    | >.t.a.k                | pm 003 - |  -  -  -  -  --  |

team                    | >.t.E.m                | pm 003 - |  -  -  -  -  --  |
meet                    | >.m.e.t                | pm 003 - |  -  -  -  -  --  |
rail                    | >.r.A.l                | pm 003 - |  -  -  -  -  --  |
gain                    | >.g.a.n                | pm 003 - |  -  -  -  -  --  |

aim                     | >.a.m                  | pm 003 - |  -  -  -  -  --  |
hat                     | >.>.a.t                | pm 003 - |  -  -  -  -  --  |
me                      | >.m.e                  | pm 003 - |  -  -  -  -  --  |
day                     | >.d.a                  | pm 003 - |  -  -  -  -  --  |
mean                    | >.m.e.n                | pm 003 - |  -  -  -  -  --  |
deed                    | >.d.e.d                | pm 003 - |  -  -  -  -  --  |

kill                    | >.k.E.l                | pm 003 - |  -  -  -  -  --  |
wreck                   | >.r.e.k                | pm 003 - |  -  -  -  -  --  |
gear                    | >.g.E.r                | pm 003 - |  -  -  -  -  --  |
lake                    | >.l.A.k                | pm 003 - |  -  -  -  -  --  |



knee                    | >.k.e                  | pm 004 - |  -  -  -  -  --  |
keen                    | >.k.e.n                | pm 004 - |  -  -  -  -  --  |
kick                    | >.k.e.k                | pm 004 - |  -  -  -  -  --  |
ache                    | >.a.k                  | pm 004 - |  -  -  -  -  --  |
acre                    | >.a.k.r                | pm 004 - |  -  -  -  -  --  |
acme                    | >.a.k.m.e              | pm 004 - |  -  -  -  -  --  |
neck                    | >.n.e.k                | pm 004 - |  -  -  -  -  --  |
cake                    | >.k.a.k                | pm 004 - |  -  -  -  -  --  |
ark                     | >.A.r.k                | pm 004 - |  -  -  -  -  --  |
eat                     | >.e.t                  | pm 004 - |  -  -  -  -  --  |
kit                     | >.k.e.t                | pm 004 - |  -  -  -  -  --  |
hit                     | >.>.e.t                | pm 004 - |  -  -  -  -  --  |
had                     | >.>.a.d                | pm 004 - |  -  -  -  -  --  |
# column 2
tact                    | >.t.a.k.t              | pm 004 - |  -  -  -  -  --  |
tray                    | >.t.r.A                | pm 004 - |  -  -  -  -  --  |
train                   | >.t.r.A.n              | pm 004 - |  -  -  -  -  --  |
treat                   | >.t.r.E.t              | pm 004 - |  -  -  -  -  --  |
nail                    | >.n.A.l                | pm 004 - |  -  -  -  -  --  |
tale                    | >.t.A.l                | pm 004 - |  -  -  -  -  --  |
lay                     | >.l.A                  | pm 004 - |  -  -  -  -  --  |
deem                    | >.d.E.m                | pm 004 - |  -  -  -  -  --  |
rim                     | >.r.E.m                | pm 004 - |  -  -  -  -  --  |
reed                    | >.r.E.d                | pm 004 - |  -  -  -  -  --  |
arid                    | >.A.r.E.d              | pm 004 - |  -  -  -  -  --  |
rainy                   | >.r.A.n.e              | pm 004 - |  -  -  -  -  --  |
hack                    | >.>.a.k                | pm 004 - |  -  x  -  -  --  |



##===[[ PRE MAN : CH01, PGS 005-005 ]]======================| co sp            #
# column 1
eddy                    | >.e.d.e                | pm 005 - |  -  -  -  -  --  |
writ                    | >.r.e.t                | pm 005 - |  -  -  -  -  --  |
came                    | >.k.a.m                | pm 005 - |  -  -  -  -  --  |
creed                   | >.k.r.E.d              | pm 005 - |  -  -  -  -  --  |
cream                   | >.k.r.E.m              | pm 005 - |  -  -  -  -  --  |
merry                   | >.m.e.r.e              | pm 005 - |  -  -  -  -  --  |
lane                    | >.l.A.n                | pm 005 - |  -  -  -  -  --  |
lamb                    | >.l.A.m                | pm 005 - |  -  -  -  -  --  |
lady                    | >.l.A.d.e              | pm 005 - |  -  -  -  -  --  |
rack                    | >.r.a.k                | pm 005 - |  -  x  -  -  --  |
ready                   | >.r.E.d.e              | pm 005 - |  -  x  -  -  --  |
maim                    | >.m.a.m                | pm 005 - |  -  -  -  -  --  |
grim                    | >.g.r.E.m              | pm 005 - |  -  -  -  -  --  |
rally                   | >.r.A.l.E              | pm 005 - |  -  -  -  -  --  |
get                     | >.g.e.t                | pm 005 - |  -  -  -  -  --  |
rig                     | >.r.e.g                | pm 005 - |  -  x  -  -  --  |
linen                   | >.l.e.n.e.n            | pm 005 - |  -  -  -  -  --  |
drama                   | >.d.r.a.m.a            | pm 005 - |  -  -  -  -  --  |
rag                     | >.r.a.g                | pm 005 - |  -  -  -  -  --  |
lick                    | >.l.e.k                | pm 005 - |  -  -  -  -  --  |
# column 2
ill                     | >.E.l                  | pm 005 - |  -  -  -  -  --  |
hill                    | >.>.E.l                | pm 005 - |  -  -  -  -  --  |
mill                    | >.m.e.l                | pm 005 - |  -  -  -  -  --  |
attic                   | >.a.t.e.k              | pm 005 - |  -  -  -  -  --  |
tickle                  | >.t.e.k.l              | pm 005 - |  -  -  -  -  --  |
ticket                  | >.t.e.k.e.t            | pm 005 - |  -  -  -  -  --  |
trick                   | >.t.r.e.k              | pm 005 - |  -  x  -  -  --  |
deck                    | >.d.e.k                | pm 005 - |  -  x  -  -  --  |
deacon                  | >.d.e.k.n              | pm 005 - |  -  -  -  -  --  |
decay                   | >.d.e.k.a              | pm 005 - |  -  -  -  -  --  |
reel                    | >.r.E.l                | pm 005 - |  -  -  -  -  --  |
gray                    | >.g.r.A                | pm 005 - |  -  -  -  -  --  |
eagle                   | >.e.g.l                | pm 005 - |  -  -  -  -  --  |
arena                   | >.A.r.E.n.a            | pm 005 - |  -  -  -  -  --  |
narrate                 | >.n.a.r.a.t            | pm 005 - |  -  -  -  -  --  |
marine                  | >.m.a.r.e.n.e          | pm 005 - |  -  -  -  -  --  |
hatred                  | >.>.a.t.r.e.d          | pm 005 - |  -  -  -  -  --  |
camera                  | >.k.a.m.E.r.A          | pm 005 - |  -  -  -  -  --  |
tyranny                 | >.t.e.r.a.n.e          | pm 005 - |  -  -  -  -  --  |
etiquette               | >.e.t.e.k.e.t          | pm 005 - |  -  -  -  -  --  |


##===[[ PRE MAN : CH01, PGS 006-006 ]]=====================| 10  50 100 500 br #
can                     | >.k                    | pm 006 w |  w   p   -   -   |
go                      | >.g                    | pm 006 w |  w   p   -   -   |
good                    | >.g                    | pm 006 w |  w   p   -   -   |
are                     | >.r                    | pm 006 w |  w   p   -   -   |
our                     | >.r                    | pm 006 w |  w   p   -   -   |
well                    | >.l                    | pm 006 w |  w   p   -   -   |
will                    | >.l                    | pm 006 w |  w   p   -   -   |

in                      | >.n                    | pm 006 w |  w   p   -   -   |
not                     | >.n                    | pm 006 w |  w   p   -   -   |
am                      | >.m                    | pm 006 w |  w   p   -   -   |
more                    | >.m                    | pm 006 w |  w   p   -   -   |
at                      | >.t                    | pm 006 w |  w   p   -   -   |
it                      | >.t                    | pm 006 w |  w   p   -   -   |
would                   | >.d                    | pm 006 w |  w   p   -   -   |

he                      | >.e                    | pm 006 w |  w   p   -   -   |
i                       | >.a                    | pm 006 w |  w   p   -   -   |
a                       | >                      | pm 006 w |  w   p   -   -   |
an                      | >                      | pm 006 w |  w   p   -   -   |
the                     | >.th                   | pm 006 w |  w   p   -   -   |

in the                  | >.n.th                 | pm 006 p |  w   p   -   -   |
i can                   | >.a.k                  | pm 006 p |  w   p   -   -   |
i will                  | >.a.l                  | pm 006 p |  w   p   -   -   |
would not               | >.d.n                  | pm 006 p |  w   p   -   -   |

i would                 | >.a.l                  | pm 006 p |  w   p   -   -   |
i am                    | >.a.m                  | pm 006 p |  w   p   -   -   |
at the                  | >.t.th                 | pm 006 p |  w   p   -   -   |
it will                 | >.t.l                  | pm 006 p |  w   p   -   -   |

it will not             | >.t.l.n                | pm 006 p |  w   p   -   -   |
i can not               | >.t.l.n                | pm 006 p |  w   p   -   -   |
in our                  | >.n.r                  | pm 006 p |  w   p   -   -   |
can the                 | >.k.th                 | pm 006 p |  w   p   -   -   |


##===[[ PRE MAN : CH02, PGS 008-008 ]]======================|==================#
fig                     | >.f.e.g                | pm 008 - |  -  -  -  -  --  |
vain                    | >.v.a.n                | pm 008 - |  -  -  -  -  --  |
fail                    | >.f.a.l                | pm 008 - |  -  -  -  -  --  |

free                    | >.f.r.e                | pm 008 - |  -  x  -  -  --  |
frame                   | >.f.r.a.m              | pm 008 - |  -  x  -  -  --  |
flash                   | >.f.l.a.sh             | pm 008 - |  -  x  -  -  --  |


##===[[ PRE MAN : CH02, PGS 008-008 ]]======================|==================#
dash                    | >.d.a.sh               | pm 008 - |  -  -  -  -  --  |
fame                    | >.f.a.m                | pm 008 - |  -  -  -  -  --  |
cheat                   | >.ch.e.t               | pm 008 - |  -  -  -  -  --  |
lap                     | >.l.a.p                | pm 008 - |  -  -  -  -  --  |


##===[[ PRE MAN : CH02, PGS 009-009 ]]======================|==================#
dash                    | >.d.a.sh               | pm 009 - |  -  -  -  -  --  |
fame                    | >.f.a.sh               | pm 009 - |  -  -  -  -  --  |
cheat                   | >.ch.e.t               | pm 009 - |  -  -  -  -  --  |
lap                     | >.l.a.p                | pm 009 - |  -  -  -  -  --  |
palm                    | >.p.a.m                | pm 009 - |  -  -  -  -  --  |
beat                    | >.b.e.t                | pm 009 - |  -  -  -  -  --  |
knave                   | >.n.a.v                | pm 009 - |  -  -  -  -  --  |
map                     | >.m.a.p                | pm 009 - |  -  x  -  -  --  |
cave                    | >.c.a.v                | pm 009 - |  -  -  -  -  --  |
fetch                   | >.f.e.ch               | pm 009 - |  -  x  -  -  --  |
chief                   | >.ch.e.f               | pm 009 - |  -  -  -  -  --  |


##===[[ PRE MAN : CH02, PGS 010-010 ]]======================|==================#
# column 1
edge                    | >.e.j                  | pm 010 - |  -  -  -  -  --  |
able                    | >.a.b.l                | pm 010 - |  -  -  -  -  --  |
fear                    | >.f.e.r                | pm 010 - |  -  -  -  -  --  |
beer                    | >.b.e.r                | pm 010 - |  -  -  -  -  --  |
fish                    | >.f.e.sh               | pm 010 - |  -  -  -  -  --  |
feed                    | >.f.e.d                | pm 010 - |  -  x  -  -  --  |
play                    | >.p.l.a                | pm 010 - |  -  x  -  -  --  |
cheek                   | >.c.e.k                | pm 010 - |  -  -  -  -  --  |
reap                    | >.r.e.p                | pm 010 - |  -  -  -  -  --  |
peep                    | >.p.e.p                | pm 010 - |  -  -  -  -  --  |
nap                     | >.n.a.p                | pm 010 - |  -  -  -  -  --  |
cab                     | >.c.a.b                | pm 010 - |  -  -  -  -  --  |
peach                   | >.p.e.ch               | pm 010 - |  -  -  -  -  --  |
preach                  | >.p.r.e.ch             | pm 010 - |  -  -  -  -  --  |
tab                     | >.t.a.b                | pm 010 - |  -  x  -  -  --  |
gem                     | >.j.e.m                | pm 010 - |  -  -  -  -  --  |
pale                    | >.p.a.l                | pm 010 - |  -  -  -  -  --  |
sherry                  | >.sh.e.r.e             | pm 010 - |  -  -  -  -  --  |
# column 2
jig                     | >.j.e.g                | pm 010 - |  -  -  -  -  --  |
apple                   | >.a.p.l                | pm 010 - |  -  -  -  -  --  |
peal                    | >.p.e.l                | pm 010 - |  -  -  -  -  --  |
appeal                  | >.a.p.e.l              | pm 010 - |  -  -  -  -  --  |
cheap                   | >.ch.e.p               | pm 010 - |  -  -  -  -  --  |
chap                    | >.ch.a.p               | pm 010 - |  -  -  -  -  --  |
beak                    | >.b.e.k                | pm 010 - |  -  -  -  -  --  |
back                    | >.b.a.k                | pm 010 - |  -  -  -  -  --  |
beam                    | >.b.e.m                | pm 010 - |  -  -  -  -  --  |
balm                    | >.b.a.m                | pm 010 - |  -  -  -  -  --  |
chain                   | >.ch.a.n               | pm 010 - |  -  -  -  -  --  |
catch                   | >.k.a.ch               | pm 010 - |  -  -  -  -  --  |
shake                   | >.sh.a.k               | pm 010 - |  -  -  -  -  --  |
shame                   | >.sh.a.m               | pm 010 - |  -  -  -  -  --  |
bread                   | >.b.r.e.d              | pm 010 - |  -  -  -  -  --  |
bridge                  | >.b.r.e.j              | pm 010 - |  -  x  -  -  --  |
shave                   | >.sh.a.v               | pm 010 - |  -  -  -  -  --  |
fray                    | >.f.r.a                | pm 010 - |  -  -  -  -  --  |
feel                    | >.f.e.l                | pm 010 - |  -  -  -  -  --  |


##===[[ PRE MAN : CH02, PGS 011-011 ]]======================|==================#
# column 1
ledge                   | >.l.e.j                | pm 011 - |  -  -  -  -  --  |
allege                  | >.a.l.e.j              | pm 011 - |  -  -  -  -  --  |
pledge                  | >.p.l.e.j              | pm 011 - |  -  -  -  -  --  |
nib                     | >.n.e.b                | pm 011 - |  -  -  -  -  --  |
brief                   | >.b.r.e.f              | pm 011 - |  -  -  -  -  --  |
chin                    | >.ch.e.n               | pm 011 - |  -  -  -  -  --  |
calf                    | >.k.a.f                | pm 011 - |  -  -  -  -  --  |
rave                    | >.r.a.v                | pm 011 - |  -  -  -  -  --  |
grave                   | >.r.a.v                | pm 011 - |  -  -  -  -  --  |
shade                   | >.sh.a.d               | pm 011 - |  -  -  -  -  --  |
half                    | >.>.a.f                | pm 011 - |  -  -  -  -  --  |
badge                   | >.b.a.j                | pm 011 - |  -  -  -  -  --  |
brain                   | >.b.r.a.n              | pm 011 - |  -  -  -  -  --  |
valid                   | >.v.a.l.e.d            | pm 011 - |  -  x  -  -  --  |
trap                    | >.t.r.a.p              | pm 011 - |  -  x  -  -  --  |
crash                   | >.k.r.a.sh             | pm 011 - |  -  x  -  -  --  |
trash                   | >.t.r.a.sh             | pm 011 - |  -  x  -  -  --  |
beef                    | >.b.e.f                | pm 011 - |  -  -  -  -  --  |
brave                   | >.b.r.a.v              | pm 011 - |  -  -  -  -  --  |
hitch                   | >.>.e.ch               | pm 011 - |  -  -  -  -  --  |
# column 2
arab                    | >.a.r.a.b              | pm 011 - |  -  -  -  -  --  |
chill                   | >.ch.e.l               | pm 011 - |  -  -  -  -  --  |
jack                    | >.j.a.k                | pm 011 - |  -  x  -  -  --  |
rage                    | >.r.a.j                | pm 011 - |  -  -  -  -  --  |
page                    | >.p.a.j                | pm 011 - |  -  -  -  -  --  |
vague                   | >.v.a.g                | pm 011 - |  -  -  -  -  --  |
dip                     | >.d.i.p                | pm 011 - |  -  -  -  -  --  |
rich                    | >.r.i.ch               | pm 011 - |  -  -  -  -  --  |
navy                    | >.n.a.v.e              | pm 011 - |  -  -  -  -  --  |
cliff                   | >.c.l.e.f              | pm 011 - |  -  -  -  -  --  |
shaggy                  | >.sh.a.g.e             | pm 011 - |  -  -  -  -  --  |
vim                     | >.v.e.m                | pm 011 - |  -  x  -  -  --  |
abate                   | >.a.b.a.t              | pm 011 - |  -  -  -  -  --  |
heavy                   | >.>.e.v.e              | pm 011 - |  -  -  -  -  --  |
java                    | >.j.a.v.a              | pm 011 - |  -  x  -  -  --  |
parish                  | >.p.a.r.e.sh           | pm 011 - |  -  -  -  -  --  |
flinch                  | >.f.l.e.n.ch           | pm 011 - |  -  -  -  -  --  |
beetle                  | >.b.e.t.l              | pm 011 - |  -  -  -  -  --  |
avail                   | >.a.v.a.l              | pm 011 - |  -  -  -  -  --  |


##===[[ PRE MAN : CH02, PGS 012-012 ]]======================|==================#
# column 1
put                     | >.p                    | pm 012 w |  -  -  -  -  --  |
be                      | >.b                    | pm 012 w |  -  -  -  -  --  |
but                     | >.b                    | pm 012 w |  -  -  -  -  --  |
by                      | >.b                    | pm 012 w |  -  -  -  -  --  |
been                    | >.b.n                  | pm 012 w |  -  -  -  -  --  |
bound                   | >.b.n                  | pm 012 w |  -  -  -  -  --  |
before                  | >.b.f                  | pm 012 w |  -  -  -  -  --  |
behalf                  | >.b.f                  | pm 012 w |  -  -  -  -  --  |
belief                  | >.b.e                  | pm 012 w |  -  -  -  -  --  |
believe                 | >.b.e                  | pm 012 w |  -  -  -  -  --  |
for                     | >.f                    | pm 012 w |  -  -  -  -  --  |
form                    | >.f.m                  | pm 012 w |  -  -  -  -  --  |
from                    | >.f.m                  | pm 012 w |  -  -  -  -  --  |
have                    | >.v                    | pm 012 w |  -  -  -  -  --  |
change                  | >.ch                   | pm 012 w |  -  -  -  -  --  |
which                   | >.ch                   | pm 012 w |  -  -  -  -  --  |
shall                   | >.sh                   | pm 012 w |  -  -  -  -  --  |
ship                    | >.sh                   | pm 012 w |  -  -  -  -  --  |
about                   | >.a.b                  | pm 012 w |  -  -  -  -  --  |
after                   | >.a.f                  | pm 012 w |  -  -  -  -  --  |
ever                    | >.e.v                  | pm 012 w |  -  -  -  -  --  |
any                     | >.n.e                  | pm 012 w |  -  -  -  -  --  |
name                    | >.n.a                  | pm 012 w |  -  -  -  -  --  |
give                    | >.g.e                  | pm 012 w |  -  -  -  -  --  |
given                   | >.g.e                  | pm 012 w |  -  -  -  -  --  |
gave                    | >.g.a                  | pm 012 w |  -  -  -  -  --  |
please                  | >.p.l                  | pm 012 w |  -  -  -  -  --  |
# column 2
let                     | >.l.E                  | pm 012 w |  -  -  -  -  --  |
letter                  | >.l.E                  | pm 012 w |  -  -  -  -  --  |
little                  | >.l.E.t                | pm 012 w |  -  -  -  -  --  |
market                  | >.m.r                  | pm 012 w |  -  -  -  -  --  |
mister                  | >.m.r                  | pm 012 w |  -  -  -  -  --  |
reply                   | >.r.e.p                | pm 012 w |  -  -  -  -  --  |
represent               | >.r.p                  | pm 012 w |  -  -  -  -  --  |
teach                   | >.t.ch                 | pm 012 w |  -  -  -  -  --  |
check                   | >.ch.k                 | pm 012 w |  -  -  -  -  --  |
for the                 | >.f.th                 | pm 012 p |  -  -  -  -  --  |
i have                  | >.i.v                  | pm 012 p |  -  -  -  -  --  |
i have not              | >.i.v.n                | pm 012 p |  -  -  -  -  --  |
in which                | >.n.ch                 | pm 012 p |  -  -  -  -  --  |
i shall                 | >.a.sh                 | pm 012 p |  -  -  -  -  --  |
i shall not             | >.a.sh.n               | pm 012 p |  -  -  -  -  --  |
i shall have            | >.a.sh.v               | pm 012 p |  -  -  -  -  --  |
from the                | >.f.m.th               | pm 012 p |  -  -  -  -  --  |
would be                | >.d.b                  | pm 012 p |  -  -  -  -  --  |
in reply                | >.n.r.e.p              | pm 012 p |  -  -  -  -  --  |
please ship             | >.p.l.sh               | pm 012 p |  -  -  -  -  --  |

##===[[ PRE MAN : CH03, SEC 54, PGS 17 ]]==================| 10  50 100 500 br #
# column 1
all                     | >.o                    | pm 017 w |  -  -  -  -  --  |
beyond                  | >.b.o.n                | pm 017 w |  -  -  -  -  --  |
body                    | >.b.o                  | pm 017 w |  -  -  -  -  --  |
call                    | >.k.o                  | pm 017 w |  -  -  -  -  --  |
care                    | >.k.a                  | pm 017 w |  -  -  -  -  --  |
company                 | >.k.p                  | pm 017 w |  -  -  -  -  --  |
keep                    | >.k.p                  | pm 017 w |  -  -  -  -  --  |
fall                    | >.f.o                  | pm 017 w |  -  -  -  -  --  |
  falling               | >.f.o.>                | pm 017 w |  -  -  -  -  --  |
follow                  | >.f.o                  | pm 017 w |  -  -  -  -  --  |
  following             | >.f.o.>                | pm 017 w |  -  -  -  -  --  |
far                     | >.f.a                  | pm 017 w |  -  -  -  -  --  |
favor                   | >.f.a                  | pm 017 w |  -  -  -  -  --  |
friendly                | >.f.r                  | pm 017 w |  -  -  -  -  --  |
glad                    | >.g.l                  | pm 017 w |  -  -  -  -  --  |
judge                   | >.j                    | pm 017 w |  -  -  -  -  --  |
most                    | >.m.o                  | pm 017 w |  -  -  -  -  --  |
of                      | >.o                    | pm 017 w |  -  -  -  -  --  |
public                  | >.p.b                  | pm 017 w |  -  -  -  -  --  |
publish                 | >.p.b                  | pm 017 w |  -  -  -  -  --  |
real                    | >.r.E                  | pm 017 w |  -  -  -  -  --  |
regard                  | >.r.E                  | pm 017 w |  -  -  -  -  --  |
# column 2
told                    | >.t.o                  | pm 017 w |  -  -  -  -  --  |
very                    | >.v.e                  | pm 017 w |  -  -  -  -  --  |
of the                  | >.o.th                 | pm 017 p |  -  -  -  -  --  |
of all                  | >.o.o                  | pm 017 p |  -  -  -  -  --  |
of which                | >.o.ch                 | pm 017 p |  -  -  -  -  --  |
of our                  | >.o.r                  | pm 017 p |  -  -  -  -  --  |
in favor                | >.n.f.a                | pm 017 p |  -  -  -  -  --  |
in our favor            | >.n.r.f.a              | pm 017 p |  -  -  -  -  --  |
on the                  | >.o.n.th               | pm 017 p |  -  -  -  -  --  |
on our                  | >.o.n.r                | pm 017 p |  -  -  -  -  --  |
on which                | >.o.n.ch               | pm 017 p |  -  -  -  -  --  |
on which the            | >.o.n.ch.th            | pm 017 p |  -  -  -  -  --  |
in regard               | >.n.r.e                | pm 017 p |  -  -  -  -  --  |
on behalf               | >.o.n.b.f              | pm 017 p |  -  -  -  -  --  |


##===[[ PRE MAN : CH04, PGS 024-024 ]]======================|==================#
# column 1
above                   | >.a.b.u                | pm 024 w |  -  -  -  -  --  |
become                  | >.b.k                  | pm 024 w |  -  -  -  -  --  |
book                    | >.b.k                  | pm 024 w |  -  -  -  -  --  |
could                   | >.k.d                  | pm 024 w |  -  -  -  -  --  |
full                    | >.f.u                  | pm 024 w |  -  -  -  -  --  |
fully                   | >.f.u                  | pm 024 w |  -  -  -  -  --  |
great                   | >.g.r                  | pm 024 w |  -  -  -  -  --  |
look                    | >.l.u                  | pm 024 w |  -  -  -  -  --  |
move                    | >.m.u                  | pm 024 w |  -  -  -  -  --  |
much                    | >.m.ch                 | pm 024 w |  -  -  -  -  --  |
should                  | >.sh.d                 | pm 024 w |  -  -  -  -  --  |
sure                    | >.sh.u                 | pm 024 w |  -  -  -  -  --  |
surely                  | >.sh.u                 | pm 024 w |  -  -  -  -  --  |
upon                    | >.p.u                  | pm 024 w |  -  -  -  -  --  |
work                    | >.w.k                  | pm 024 w |  -  -  -  -  --  |
world                   | >.u.u                  | pm 024 w |  -  -  -  -  --  |
yes                     | >.a                    | pm 024 w |  -  -  -  -  --  |
you                     | >.u                    | pm 024 w |  -  -  -  -  --  |
your                    | >.u                    | pm 024 w |  -  -  -  -  --  |
week                    | >.e.k                  | pm 024 w |  -  -  -  -  --  |
were                    | >.e.r                  | pm 024 w |  -  -  -  -  --  |
where                   | >.a.r                  | pm 024 w |  -  -  -  -  --  |
# column 2
of your                 | >.o.u                  | pm 024 p |  -  -  -  -  --  |
to you                  | >.t.u.u                | pm 024 p |  -  -  -  -  --  |
